,applystudent2,school2,applystudent1,datetime,school1
293,21,양지고,20,2020-04-08 21:50:55.402430,다정고
294,21,양지고,20,2020-04-08 21:51:00.754583,다정고
295,21,양지고,20,2020-04-08 21:51:06.022556,다정고
296,21,양지고,20,2020-04-08 21:51:11.289108,다정고
297,21,양지고,20,2020-04-08 21:51:16.552920,다정고
298,21,양지고,20,2020-04-08 21:51:21.816726,다정고
299,21,양지고,20,2020-04-08 21:51:27.089776,다정고
300,21,양지고,20,2020-04-08 21:51:32.365202,다정고
301,21,양지고,20,2020-04-08 21:51:37.655806,다정고
302,21,양지고,20,2020-04-08 21:51:42.918874,다정고
303,21,양지고,20,2020-04-08 21:51:48.185959,다정고
304,21,양지고,20,2020-04-08 21:51:53.449096,다정고
305,21,양지고,20,2020-04-08 21:51:58.718545,다정고
306,21,양지고,20,2020-04-08 21:52:03.995042,다정고
307,21,양지고,20,2020-04-08 21:52:09.349971,다정고
308,21,양지고,20,2020-04-08 21:52:15.038683,다정고
309,21,양지고,20,2020-04-08 21:52:20.318497,다정고
310,21,양지고,20,2020-04-08 21:52:25.593962,다정고
311,21,양지고,20,2020-04-08 21:52:30.869732,다정고
312,21,양지고,20,2020-04-08 21:52:36.150514,다정고
313,21,양지고,20,2020-04-08 21:52:41.512853,다정고
314,21,양지고,20,2020-04-08 21:52:46.839234,다정고
315,21,양지고,20,2020-04-08 21:52:52.149530,다정고
316,21,양지고,20,2020-04-08 21:52:57.536785,다정고
317,21,양지고,20,2020-04-08 21:53:02.905597,다정고
318,21,양지고,20,2020-04-08 21:53:08.174930,다정고
319,21,양지고,20,2020-04-08 21:53:13.446168,다정고
320,21,양지고,20,2020-04-08 21:53:18.795852,다정고
321,21,양지고,20,2020-04-08 21:53:24.162882,다정고
322,21,양지고,20,2020-04-08 21:53:29.440698,다정고
323,21,양지고,20,2020-04-08 21:53:34.771720,다정고
324,21,양지고,20,2020-04-08 21:53:40.326996,다정고
325,21,양지고,20,2020-04-08 21:53:45.587025,다정고
326,21,양지고,20,2020-04-08 21:53:50.920849,다정고
327,21,양지고,20,2020-04-08 21:53:56.284720,다정고
328,21,양지고,20,2020-04-08 21:54:01.568825,다정고
329,21,양지고,20,2020-04-08 21:54:06.850650,다정고
330,21,양지고,20,2020-04-08 21:54:12.152237,다정고
331,21,양지고,20,2020-04-08 21:54:17.440876,다정고
332,21,양지고,20,2020-04-08 21:54:22.809228,다정고
333,21,양지고,20,2020-04-08 21:54:28.224234,다정고
334,21,양지고,20,2020-04-08 21:54:33.567145,다정고
335,21,양지고,20,2020-04-08 21:54:38.878822,다정고
336,21,양지고,20,2020-04-08 21:54:44.375354,다정고
337,21,양지고,20,2020-04-08 21:54:49.837609,다정고
338,21,양지고,20,2020-04-08 21:54:55.097793,다정고
339,21,양지고,20,2020-04-08 21:55:00.377395,다정고
340,21,양지고,20,2020-04-08 21:55:05.643855,다정고
341,21,양지고,20,2020-04-08 21:55:10.916368,다정고
342,21,양지고,20,2020-04-08 21:55:16.179550,다정고
343,21,양지고,20,2020-04-08 21:55:21.441579,다정고
344,21,양지고,20,2020-04-08 21:55:26.713965,다정고
345,21,양지고,20,2020-04-08 21:55:32.091448,다정고
346,21,양지고,20,2020-04-08 21:55:37.353121,다정고
347,21,양지고,20,2020-04-08 21:55:42.609734,다정고
348,21,양지고,20,2020-04-08 21:55:47.874341,다정고
349,21,양지고,20,2020-04-08 21:55:53.134083,다정고
350,21,양지고,20,2020-04-08 21:55:58.415844,다정고
