,applystudent2,school2,applystudent1,school1,datetime
349,21,양지고,20,다정고,2020-04-08 08:06:35.718539
350,21,양지고,20,다정고,2020-04-08 08:06:41.023117
351,21,양지고,20,다정고,2020-04-08 08:06:46.335957
352,21,양지고,20,다정고,2020-04-08 08:06:51.650935
353,21,양지고,20,다정고,2020-04-08 08:06:56.959346
354,21,양지고,20,다정고,2020-04-08 08:07:02.263461
355,21,양지고,20,다정고,2020-04-08 08:07:07.600754
356,21,양지고,20,다정고,2020-04-08 08:07:12.937249
357,21,양지고,20,다정고,2020-04-08 08:07:18.252434
358,21,양지고,20,다정고,2020-04-08 08:07:23.620778
359,21,양지고,20,다정고,2020-04-08 08:07:28.926090
360,21,양지고,20,다정고,2020-04-08 08:07:34.217262
361,21,양지고,20,다정고,2020-04-08 08:07:39.540388
362,21,양지고,20,다정고,2020-04-08 08:07:44.834264
363,21,양지고,20,다정고,2020-04-08 08:07:50.117544
364,21,양지고,20,다정고,2020-04-08 08:07:55.423832
365,21,양지고,20,다정고,2020-04-08 08:08:00.698374
366,21,양지고,20,다정고,2020-04-08 08:08:06.006659
367,21,양지고,20,다정고,2020-04-08 08:08:11.337711
368,21,양지고,20,다정고,2020-04-08 08:08:16.656452
369,21,양지고,20,다정고,2020-04-08 08:08:21.952954
370,21,양지고,20,다정고,2020-04-08 08:08:27.246024
371,21,양지고,20,다정고,2020-04-08 08:08:32.545394
372,21,양지고,20,다정고,2020-04-08 08:08:37.845175
373,21,양지고,20,다정고,2020-04-08 08:08:43.141884
374,21,양지고,20,다정고,2020-04-08 08:08:48.450705
375,21,양지고,20,다정고,2020-04-08 08:08:53.739048
376,21,양지고,20,다정고,2020-04-08 08:08:59.027391
377,21,양지고,20,다정고,2020-04-08 08:09:04.319506
378,21,양지고,20,다정고,2020-04-08 08:09:09.621480
379,21,양지고,20,다정고,2020-04-08 08:09:14.929240
380,21,양지고,20,다정고,2020-04-08 08:09:20.232126
381,21,양지고,20,다정고,2020-04-08 08:09:25.572429
382,21,양지고,20,다정고,2020-04-08 08:09:30.880852
383,21,양지고,20,다정고,2020-04-08 08:09:36.178984
384,21,양지고,20,다정고,2020-04-08 08:09:41.513591
385,21,양지고,20,다정고,2020-04-08 08:09:46.828852
386,21,양지고,20,다정고,2020-04-08 08:09:52.118317
387,21,양지고,20,다정고,2020-04-08 08:09:57.393677
388,21,양지고,20,다정고,2020-04-08 08:10:02.687251
389,21,양지고,20,다정고,2020-04-08 08:10:07.975573
390,21,양지고,20,다정고,2020-04-08 08:10:13.268589
391,21,양지고,20,다정고,2020-04-08 08:10:18.549263
392,21,양지고,20,다정고,2020-04-08 08:10:23.839487
393,21,양지고,20,다정고,2020-04-08 08:10:29.128662
394,21,양지고,20,다정고,2020-04-08 08:10:34.415156
395,21,양지고,20,다정고,2020-04-08 08:10:39.753737
396,21,양지고,20,다정고,2020-04-08 08:10:45.767869
397,21,양지고,20,다정고,2020-04-08 08:10:51.076764
398,21,양지고,20,다정고,2020-04-08 08:10:56.358709
399,21,양지고,20,다정고,2020-04-08 08:11:01.665454
400,21,양지고,20,다정고,2020-04-08 08:11:06.982422
401,21,양지고,20,다정고,2020-04-08 08:11:12.278207
402,21,양지고,20,다정고,2020-04-08 08:11:17.627782
403,21,양지고,20,다정고,2020-04-08 08:11:23.086271
404,21,양지고,20,다정고,2020-04-08 08:11:28.423271
405,21,양지고,20,다정고,2020-04-08 08:11:33.895893
406,21,양지고,20,다정고,2020-04-08 08:11:39.338950
407,21,양지고,20,다정고,2020-04-08 08:11:44.739525
408,21,양지고,20,다정고,2020-04-08 08:11:50.058713
409,21,양지고,20,다정고,2020-04-08 08:11:55.385524
410,21,양지고,20,다정고,2020-04-08 08:12:00.696529
411,21,양지고,20,다정고,2020-04-08 08:12:06.158821
412,21,양지고,20,다정고,2020-04-08 08:12:11.514964
413,21,양지고,20,다정고,2020-04-08 08:12:16.877806
414,21,양지고,20,다정고,2020-04-08 08:12:22.182955
415,21,양지고,20,다정고,2020-04-08 08:12:27.520044
416,21,양지고,20,다정고,2020-04-08 08:12:32.832014
417,21,양지고,20,다정고,2020-04-08 08:12:38.252434
418,21,양지고,20,다정고,2020-04-08 08:12:43.539473
419,21,양지고,20,다정고,2020-04-08 08:12:48.832881
420,21,양지고,20,다정고,2020-04-08 08:12:54.136893
421,21,양지고,20,다정고,2020-04-08 08:12:59.448661
422,21,양지고,20,다정고,2020-04-08 08:13:04.737936
423,21,양지고,20,다정고,2020-04-08 08:13:10.052809
424,21,양지고,20,다정고,2020-04-08 08:13:15.358324
425,21,양지고,20,다정고,2020-04-08 08:13:20.889084
426,21,양지고,20,다정고,2020-04-08 08:13:26.186667
427,21,양지고,20,다정고,2020-04-08 08:13:31.480187
428,21,양지고,20,다정고,2020-04-08 08:13:36.983383
429,21,양지고,20,다정고,2020-04-08 08:13:42.283196
430,21,양지고,20,다정고,2020-04-08 08:13:47.592343
431,21,양지고,20,다정고,2020-04-08 08:13:52.905006
432,21,양지고,20,다정고,2020-04-08 08:13:58.236088
433,21,양지고,20,다정고,2020-04-08 08:14:03.528506
434,21,양지고,20,다정고,2020-04-08 08:14:08.832253
435,21,양지고,20,다정고,2020-04-08 08:14:14.126422
436,21,양지고,20,다정고,2020-04-08 08:14:19.439150
437,21,양지고,20,다정고,2020-04-08 08:14:24.812271
438,21,양지고,20,다정고,2020-04-08 08:14:30.234305
439,21,양지고,20,다정고,2020-04-08 08:14:35.656434
440,21,양지고,20,다정고,2020-04-08 08:14:41.002800
441,21,양지고,20,다정고,2020-04-08 08:14:46.311532
442,21,양지고,20,다정고,2020-04-08 08:14:51.661670
443,21,양지고,20,다정고,2020-04-08 08:14:56.954741
444,21,양지고,20,다정고,2020-04-08 08:15:02.242222
445,21,양지고,20,다정고,2020-04-08 08:15:07.553800
446,21,양지고,20,다정고,2020-04-08 08:15:12.849137
447,21,양지고,20,다정고,2020-04-08 08:15:18.144169
448,21,양지고,20,다정고,2020-04-08 08:15:23.486243
449,21,양지고,20,다정고,2020-04-08 08:15:28.785670
450,21,양지고,20,다정고,2020-04-08 08:15:34.100789
451,21,양지고,20,다정고,2020-04-08 08:15:39.403746
452,21,양지고,20,다정고,2020-04-08 08:15:44.711094
453,21,양지고,20,다정고,2020-04-08 08:15:50.014976
454,21,양지고,20,다정고,2020-04-08 08:15:55.304543
455,21,양지고,20,다정고,2020-04-08 08:16:00.575334
456,21,양지고,20,다정고,2020-04-08 08:16:05.900691
457,21,양지고,20,다정고,2020-04-08 08:16:11.406036
458,21,양지고,20,다정고,2020-04-08 08:16:16.725405
459,21,양지고,20,다정고,2020-04-08 08:16:22.110459
460,21,양지고,20,다정고,2020-04-08 08:16:27.557453
461,21,양지고,20,다정고,2020-04-08 08:16:32.937492
